year,county,sector,gwh,population,gwh_per_capita
2019,Santa Barbara,"Transportation, Communications, & Utilities",232.27823863244,448815,0.0005175367102980961
2020,Santa Barbara,Agriculture and Water Pumping,277.843088054889,447207,0.000621285194674701
2020,Santa Barbara,Commercial,873.078648993575,447207,0.0019522920012289052
2020,Santa Barbara,Industrial,216.775085691153,447207,0.0004847309762395334
2020,Santa Barbara,Mining,269.092430149587,447207,0.0006017178401715247
2020,Santa Barbara,Residential,806.583451686392,447207,0.0018036020269950872
2020,Santa Barbara,Streetlighting,8.08492089991869,447207,1.8078699349336412e-05
2020,Santa Barbara,"Transportation, Communications, & Utilities",228.843162246861,447207,0.0005117164137566295
2021,Santa Barbara,Agriculture and Water Pumping,290.802873998947,438097,0.0006637864993345012
2021,Santa Barbara,Commercial,905.06228937353,438097,0.002065894743341155
2021,Santa Barbara,Industrial,182.59737192033,438097,0.0004167966727010913
2021,Santa Barbara,Mining,273.12021218418,438097,0.0006234240640410228
2021,Santa Barbara,Residential,781.105493169935,438097,0.001782951020367487
2021,Santa Barbara,Streetlighting,9.34231225862334,438097,2.1324757436420108e-05
2021,Santa Barbara,"Transportation, Communications, & Utilities",254.439341522437,438097,0.0005807831177169371
2022,Santa Barbara,Agriculture and Water Pumping,289.691795166,444384,0.0006518951968702744
2022,Santa Barbara,Commercial,956.528461036,444384,0.0021524817748523797
2022,Santa Barbara,Industrial,192.52426222799,444384,0.00043323851045039876
2022,Santa Barbara,Mining,282.6098170787,444384,0.000635958578793791
2022,Santa Barbara,Residential,777.793996054,444384,0.00175027452845737
2022,Santa Barbara,Streetlighting,9.304261598,444384,2.0937436086807805e-05
2022,Santa Barbara,"Transportation, Communications, & Utilities",233.3119948342,444384,0.0005250233915582019
2023,Santa Barbara,Agriculture and Water Pumping,233.241357041988,442874,0.0005266539852011814
2023,Santa Barbara,Commercial,922.275904337752,442874,0.0020824792251018394
2023,Santa Barbara,Industrial,190.520356501554,442874,0.0004301908816086607
2023,Santa Barbara,Mining,234.152763098017,442874,0.0005287119205417727
2023,Santa Barbara,Residential,781.447987762082,442874,0.0017644928078010495
2023,Santa Barbara,Streetlighting,8.97956597591523,442874,2.0275667516980518e-05
2023,Santa Barbara,"Transportation, Communications, & Utilities",231.615238636484,442874,0.0005229822446937143
2024,Santa Barbara,Agriculture and Water Pumping,240.358748345224,444754,0.0005404307737428421
2024,Santa Barbara,Commercial,971.289299349459,444754,0.002183879851219908
2024,Santa Barbara,Industrial,179.500120840686,444754,0.0004035941685531463
2024,Santa Barbara,Mining,192.393429175442,444754,0.00043258392094380716
2024,Santa Barbara,Residential,788.282972902117,444754,0.0017724022108898784
2024,Santa Barbara,Streetlighting,8.99060050282161,444754,2.0214771542968945e-05
2024,Santa Barbara,"Transportation, Communications, & Utilities",232.196894701837,444754,0.0005220793847876287
2015,Ventura,Agriculture and Water Pumping,319.795540223771,850038,0.0003762132283777561
2015,Ventura,Commercial,1827.35320007606,850038,0.0021497311885775223
2015,Ventura,Industrial,894.470296943998,850038,0.0010522709537032439
2015,Ventura,Mining,442.679525415931,850038,0.0005207761599080641
2015,Ventura,Residential,1808.15837748184,850038,0.0021271500538585803
2015,Ventura,Streetlighting,30.3823607539343,850038,3.574235593459857e-05
2015,Ventura,"Transportation, Communications, & Utilities",250.452070013694,850038,0.0002946363221570024
2016,Ventura,Agriculture and Water Pumping,313.224327310534,850227,0.0003684008239100076
2016,Ventura,Commercial,1773.34665513751,850227,0.00208573316906839
2016,Ventura,Industrial,869.6769741524,850227,0.0010228762132376413
2016,Ventura,Mining,423.517042295369,850227,0.0004981223159172421
2016,Ventura,Residential,1758.31818530989,850227,0.0020680573368169796
2016,Ventura,Streetlighting,30.2249900229713,850227,3.5549318032679864e-05
2016,Ventura,"Transportation, Communications, & Utilities",248.776900386159,850227,0.00029260056477406504
2017,Ventura,Agriculture and Water Pumping,330.104053282449,849979,0.0003883673047009973
2017,Ventura,Commercial,1772.33935373582,849979,0.002085156637676719
2017,Ventura,Industrial,874.016499642926,849979,0.0010282801100296901
2017,Ventura,Mining,414.339321649202,849979,0.000487470068847821
2017,Ventura,Residential,1804.26818400587,849979,0.002122720895464323
2017,Ventura,Streetlighting,30.3343319285982,849979,3.5688331039470624e-05
2017,Ventura,"Transportation, Communications, & Utilities",241.02297458849,849979,0.00028356344637748697
2018,Ventura,Agriculture and Water Pumping,313.808640393788,849523,0.00036939393093981913
2018,Ventura,Commercial,1744.85550937965,849523,0.0020539238012150934
2018,Ventura,Industrial,882.723440902956,849523,0.0010390812737300296
2018,Ventura,Mining,417.337444101319,849523,0.0004912609124194624
2018,Ventura,Residential,1765.32714024169,849523,0.0020780215959328822
2018,Ventura,Streetlighting,30.6691738706474,849523,3.610164041544184e-05
2018,Ventura,"Transportation, Communications, & Utilities",243.416822093754,849523,0.000286533527748812
2019,Ventura,Agriculture and Water Pumping,304.508469914759,845474,0.000360163020879127
2019,Ventura,Commercial,1670.06502236479,845474,0.0019753002722316592
2019,Ventura,Industrial,856.146367542814,845474,0.0010126229399636346
2019,Ventura,Mining,414.926415111783,845474,0.0004907618863640786
2019,Ventura,Residential,1785.45256639821,845474,0.0021117770225911265
2019,Ventura,Streetlighting,25.3624189359514,845474,2.9997869758208293e-05
2019,Ventura,"Transportation, Communications, & Utilities",239.864897570057,845474,0.0002837046409115561
2020,Ventura,Agriculture and Water Pumping,288.434823623358,844689,0.00034146866316876154
2020,Ventura,Commercial,1551.2151304595,844689,0.0018364334452792685
2020,Ventura,Industrial,862.973359598761,844689,0.0010216462622323257
2020,Ventura,Mining,363.303650104247,844689,0.00043010344648059467
2020,Ventura,Residential,1932.8498223622,844689,0.0022882384195392624
2020,Ventura,Streetlighting,25.1530632406287,844689,2.9777898422530303e-05
2020,Ventura,"Transportation, Communications, & Utilities",237.457526018015,844689,0.0002811182885275113
2021,Ventura,Agriculture and Water Pumping,280.870652298572,838464,0.0003349823633436522
2021,Ventura,Commercial,1528.21402499541,838464,0.0018226352294140357
2021,Ventura,Industrial,885.138375579136,838464,0.0010556665230458744
2021,Ventura,Mining,349.605367783706,838464,0.00041695930628352085
2021,Ventura,Residential,1849.13928493627,838464,0.0022053890029104053
2021,Ventura,Streetlighting,31.9520713415074,838464,3.8107863118162973e-05
2021,Ventura,"Transportation, Communications, & Utilities",251.229634747208,838464,0.0002996307948191073
2022,Ventura,Agriculture and Water Pumping,278.435971366,832680,0.0003343853237330067
2022,Ventura,Commercial,1665.420802231,832680,0.002000073019924821
2022,Ventura,Industrial,875.649765314,832680,0.001051604176050824
2022,Ventura,Mining,359.875066244,832680,0.00043218891560263247
2022,Ventura,Residential,1858.08504414,832680,0.002231451510952587
2022,Ventura,Streetlighting,47.480861937,832680,5.7021739368064564e-05
2022,Ventura,"Transportation, Communications, & Utilities",250.985181972,832680,0.0003014185304943075
2023,Ventura,Agriculture and Water Pumping,251.363484975484,829346,0.0003030863897281521
2023,Ventura,Commercial,1621.53416181108,829346,0.001955196217032553
2023,Ventura,Industrial,832.364191264549,829346,0.0010036392425652853
2023,Ventura,Mining,363.208180409596,829346,0.00043794529714931527
2023,Ventura,Residential,1777.93461054158,829346,0.002143779086824534
2023,Ventura,Streetlighting,35.06683044897,829346,4.22825098920957e-05
2023,Ventura,"Transportation, Communications, & Utilities",243.834689745231,829346,0.00029400839908220577
2024,Ventura,Agriculture and Water Pumping,260.126045758568,829880,0.0003134501925080349
2024,Ventura,Commercial,1591.03043163443,829880,0.0019171813173403745
2024,Ventura,Industrial,806.183951682045,829880,0.0009714464159662179
2024,Ventura,Mining,107.937766238742,829880,0.00013006430597043187
2024,Ventura,Residential,1837.52079797446,829880,0.002214200604875958
2024,Ventura,Streetlighting,31.932511233182,829880,3.847846825225575e-05
2024,Ventura,"Transportation, Communications, & Utilities",577.121548556236,829880,0.0006954277107006266
